School,Grad Rate,Retain Rate,Accept Rate,ENROLLMENT,INSTITUTIONALAID,DEFAULT,Ratio
Harvard University, 0.98 , 0.98 , 0.06 , 0.04 , 0.44 , N/A ,7
Yale University, 0.97 , 0.99 , 0.07 , 0.05 , 0.52 , N/A ,6
University of Pennsylvania, 0.95 , 0.98 , 0.10 , 0.07 , 0.54 , N/A ,6
Johns Hopkins University, 0.94 , 0.97 , 0.14 , 0.05 , 0.51 , N/A ,10
Cornell University, 0.93 , 0.97 , 0.15 , 0.08 , 0.55 , N/A ,9
Tufts University, 0.93 , 0.97 , 0.16 , 0.07 , 0.43 , N/A ,9
University of California-Berkeley, 0.92 , 0.96 , 0.17 , 0.07 , 0.61 , N/A ,17
University of California-Los Angeles, 0.91 , 0.96 , 0.17 , 0.06 , 0.61 , N/A ,16
Georgetown University, 0.94 , 0.96 , 0.17 , 0.08 , 0.42 , N/A ,11
Washington University in St Louis, 0.93 , 0.96 , 0.17 , 0.06 , 0.49 , N/A ,8
University of Notre Dame, 0.97 , 0.98 , 0.20 , 0.11 , 0.63 , N/A ,10
Liberty University, 0.47 , 0.75 , 0.22 , 0.10 , 0.84 , N/A ,18
Emory University, 0.89 , 0.94 , 0.24 , 0.07 , 0.54 , N/A ,8
New Mexico Institute of Mining and Technology, 0.49 , 0.75 , 0.24 , 0.21 , 0.73 , 0.06 ,12
Piedmont International University, 0.41 , 0.74 , 0.24 , 0.19 , 0.68 , N/A ,7
Carnegie Mellon University, 0.88 , 0.98 , 0.24 , 0.08 , 0.54 , N/A ,10
California Institute of the Arts, 0.56 , 0.87 , 0.25 , 0.09 , 0.55 , 0.08 ,7
Maine College of Health Professions, 1.00 , 1.00 , 0.25 , 0.25 , 0.59 , N/A ,5
Babson College, 0.89 , 0.96 , 0.26 , 0.07 , 0.48 , N/A ,14
University of Michigan-Ann Arbor, 0.90 , 0.97 , 0.26 , 0.12 , 0.51 , N/A ,12
Northeastern University, 0.84 , 0.97 , 0.28 , 0.06 , 0.65 , N/A ,14
Southwestern Assemblies of God University, 0.41 , 0.74 , 0.28 , 0.20 , 0.87 , N/A ,14
Berklee College of Music, 0.56 , 0.87 , 0.29 , 0.12 , 0.53 , 0.12 ,11
Boston College, 0.92 , 0.95 , 0.29 , 0.07 , 0.45 , 0.02 ,14
Wake Forest University, 0.88 , 0.93 , 0.29 , 0.10 , 0.50 , N/A ,10
Tulane University of Louisiana, 0.83 , 0.92 , 0.30 , 0.07 , 0.70 , N/A ,9
Lehigh University, 0.88 , 0.95 , 0.30 , 0.10 , 0.51 , N/A ,10
University of Virginia-Main Campus, 0.93 , 0.97 , 0.30 , 0.12 , 0.40 , N/A ,15
California Polytechnic State University-San Luis Obispo, 0.76 , 0.93 , 0.31 , 0.11 , 0.55 , 0.03 ,22
University of North Carolina at Chapel Hill, 0.90 , 0.97 , 0.31 , 0.13 , 0.53 , N/A ,14
Corban University, 0.59 , 0.80 , 0.31 , 0.09 , 0.94 , N/A ,15
University of Richmond, 0.88 , 0.93 , 0.31 , 0.08 , 0.69 , N/A ,8
Georgia Institute of Technology-Main Campus, 0.85 , 0.97 , 0.32 , 0.11 , 0.63 , N/A ,19
CUNY Bernard M Baruch College, 0.70 , 0.91 , 0.32 , 0.07 , 0.56 , 0.05 ,17
New York University, 0.84 , 0.93 , 0.32 , 0.10 , 0.57 , N/A ,10
University of California-Santa Barbara, 0.81 , 0.93 , 0.33 , 0.06 , 0.66 , N/A ,17
Boston University, 0.85 , 0.93 , 0.33 , 0.07 , 0.49 , N/A ,12
California State University-Long Beach, 0.67 , 0.89 , 0.34 , 0.08 , 0.72 , 0.05 ,24
Hope International University, 0.42 , 0.91 , 0.34 , 0.12 , 0.82 , N/A ,14
San Diego State University, 0.68 , 0.89 , 0.34 , 0.09 , 0.59 , N/A ,28
Brandeis University, 0.86 , 0.92 , 0.34 , 0.08 , 0.58 , N/A ,10
Nebraska Methodist College of Nursing & Allied Health, 0.73 , 0.81 , 0.34 , 0.19 , 0.72 , N/A ,12
University of Rochester, 0.88 , 0.96 , 0.34 , 0.08 , 0.78 , N/A ,10
Columbia International University, 0.62 , 0.73 , 0.34 , 0.17 , 0.91 , N/A ,14
College of William and Mary, 0.90 , 0.95 , 0.34 , 0.10 , 0.44 , N/A ,12
American University, 0.81 , 0.88 , 0.35 , 0.11 , 0.63 , 0.04 ,12
Emmaus Bible College, 0.75 , 0.83 , 0.35 , 0.14 , 0.95 , N/A ,9
Skidmore College, 0.86 , 0.94 , 0.36 , 0.08 , 0.48 , N/A ,8
Laguna College of Art and Design, 0.66 , 0.84 , 0.37 , 0.21 , 1.00 , 0.06 ,12
Maharishi University of Management, 0.46 , 0.90 , 0.37 , 0.25 , 0.68 , N/A ,11
CUNY Brooklyn College, 0.54 , 0.82 , 0.37 , 0.07 , 0.60 , 0.07 ,15
University of California-Davis, 0.85 , 0.93 , 0.38 , 0.08 , 0.72 , N/A ,18
Colorado School of Mines, 0.77 , 0.94 , 0.38 , 0.09 , 0.68 , 0.03 ,16
University of Miami, 0.82 , 0.92 , 0.38 , 0.06 , 0.70 , N/A ,12
California State Polytechnic University-Pomona, 0.63 , 0.89 , 0.39 , 0.08 , 0.67 , 0.05 ,27
University of California-Irvine, 0.88 , 0.93 , 0.39 , 0.08 , 0.73 , N/A ,19
Andrews University, 0.54 , 0.80 , 0.39 , 0.12 , 0.84 , 0.07 ,9
CUNY Hunter College, 0.54 , 0.83 , 0.39 , 0.08 , 0.56 , 0.05 ,11
The University of Texas at Austin, 0.80 , 0.95 , 0.39 , 0.18 , 0.45 , N/A ,18
